IDInteractorA,IDInteractorB
entrez gene/locuslink:176143,entrez gene/locuslink:179373
entrez gene/locuslink:176143,entrez gene/locuslink:266819
entrez gene/locuslink:176143,entrez gene/locuslink:179302
entrez gene/locuslink:176146,entrez gene/locuslink:174664
entrez gene/locuslink:181055,entrez gene/locuslink:181179
entrez gene/locuslink:181055,entrez gene/locuslink:171934
entrez gene/locuslink:181055,entrez gene/locuslink:173355
entrez gene/locuslink:181055,entrez gene/locuslink:176471
entrez gene/locuslink:181055,entrez gene/locuslink:185870
entrez gene/locuslink:181055,entrez gene/locuslink:173296
entrez gene/locuslink:181055,entrez gene/locuslink:174770
entrez gene/locuslink:181055,entrez gene/locuslink:174771
entrez gene/locuslink:181055,entrez gene/locuslink:180419
entrez gene/locuslink:181055,entrez gene/locuslink:180757
entrez gene/locuslink:181055,entrez gene/locuslink:171978
entrez gene/locuslink:181055,entrez gene/locuslink:178846
entrez gene/locuslink:181055,entrez gene/locuslink:179709
entrez gene/locuslink:179941,entrez gene/locuslink:178324
entrez gene/locuslink:179941,entrez gene/locuslink:172308
entrez gene/locuslink:179941,entrez gene/locuslink:179709
entrez gene/locuslink:179941,entrez gene/locuslink:179791
entrez gene/locuslink:179941,entrez gene/locuslink:175712
entrez gene/locuslink:179941,entrez gene/locuslink:174571
entrez gene/locuslink:180885,entrez gene/locuslink:173846
entrez gene/locuslink:175904,entrez gene/locuslink:176152
entrez gene/locuslink:175904,entrez gene/locuslink:176453
entrez gene/locuslink:175900,entrez gene/locuslink:177447
entrez gene/locuslink:175900,entrez gene/locuslink:175638
entrez gene/locuslink:175900,entrez gene/locuslink:175684
entrez gene/locuslink:175900,entrez gene/locuslink:175462
entrez gene/locuslink:175900,entrez gene/locuslink:177243
entrez gene/locuslink:175900,entrez gene/locuslink:181416
entrez gene/locuslink:175900,entrez gene/locuslink:175840
entrez gene/locuslink:175900,entrez gene/locuslink:176131
entrez gene/locuslink:175900,entrez gene/locuslink:173750
entrez gene/locuslink:175900,entrez gene/locuslink:178064
entrez gene/locuslink:175900,entrez gene/locuslink:178279
entrez gene/locuslink:175900,entrez gene/locuslink:177895
entrez gene/locuslink:175900,entrez gene/locuslink:179535
entrez gene/locuslink:173690,entrez gene/locuslink:173690
entrez gene/locuslink:173945,entrez gene/locuslink:175901
entrez gene/locuslink:173945,entrez gene/locuslink:178064
entrez gene/locuslink:173945,entrez gene/locuslink:173138
entrez gene/locuslink:173945,entrez gene/locuslink:178502
entrez gene/locuslink:173969,entrez gene/locuslink:173846
entrez gene/locuslink:180652,entrez gene/locuslink:173944
entrez gene/locuslink:180652,entrez gene/locuslink:187528
entrez gene/locuslink:180652,entrez gene/locuslink:179428
entrez gene/locuslink:178942,entrez gene/locuslink:177342
entrez gene/locuslink:178942,entrez gene/locuslink:172461
entrez gene/locuslink:178942,entrez gene/locuslink:172277
entrez gene/locuslink:178942,entrez gene/locuslink:172090
entrez gene/locuslink:178942,entrez gene/locuslink:172766
entrez gene/locuslink:178942,entrez gene/locuslink:178942
entrez gene/locuslink:178942,entrez gene/locuslink:183123
entrez gene/locuslink:178942,entrez gene/locuslink:179637
entrez gene/locuslink:178942,entrez gene/locuslink:177223
entrez gene/locuslink:178942,entrez gene/locuslink:171602
entrez gene/locuslink:178942,entrez gene/locuslink:172210
entrez gene/locuslink:178942,entrez gene/locuslink:172091
entrez gene/locuslink:178942,entrez gene/locuslink:176179
